[2025-05-15 19:41:22] [info] Загружено [36m1[0m задач в память
[2025-05-15 19:41:22] [info] Сброс выполняющихся и ошибочных задач в статус Pending...
[2025-05-15 19:41:22] [info] Сброшено [33m1[0m задач.
[2025-05-15 19:41:22] [info] Загружено [36m300[0m прокси в память
[2025-05-15 19:41:22] [info] Загружено [36m800[0m аккаунтов в память
[2025-05-15 19:42:04] [info] Twitch service иницилизирован для assstronavt
[2025-05-15 19:42:04] [info] Запускается Twitch-сервис для задачи 1 (URL: https://www.twitch.tv/assstronavt)
[2025-05-15 19:42:04] [info] Проверка онлайна стрима [36massstronavt[0m
[2025-05-15 19:42:07] [info] [TWITCH isStreamLive] stream [36massstronavt[0m - [32mOnline[0m
[2025-05-15 19:42:07] [info] Стрим https://www.twitch.tv/assstronavt в эфире. Начинаем выполнение задачи 1.
[2025-05-15 19:42:07] [info] [TWITCH] Запуск 50 ботов в течение 00:01:00 времени
[2025-05-15 19:42:07] [info] [TWITCH] Получено прокси: 50
[2025-05-15 19:42:08] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.14.119:1051
[2025-05-15 19:42:10] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.142.14:1051
[2025-05-15 19:42:12] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.57.96:1051
[2025-05-15 19:42:13] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.11.20.219:1051
[2025-05-15 19:42:17] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.23.195:1051
[2025-05-15 19:42:19] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.22.20:1051
[2025-05-15 19:42:23] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.111.18:1051
[2025-05-15 19:42:25] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@95.182.124.88:1051
[2025-05-15 19:42:26] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.11.20.111:1051
[2025-05-15 19:42:30] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.143.136:1051
[2025-05-15 19:42:33] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.137.220:1051
[2025-05-15 19:42:35] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.185.213:1051
[2025-05-15 19:42:39] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.22.108:1051
[2025-05-15 19:42:41] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.86.1.166:1051
[2025-05-15 19:42:42] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.16.254:1051
[2025-05-15 19:42:44] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@188.130.186.88:1051
[2025-05-15 19:42:46] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.128.184:1051
[2025-05-15 19:42:49] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.55.152:1051
[2025-05-15 19:42:51] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.49.143:1051
[2025-05-15 19:42:59] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.15.73.177:1051
[2025-05-15 19:43:03] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@95.182.124.145:1051
[2025-05-15 19:43:05] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.142.108:1051
[2025-05-15 19:43:08] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@46.8.213.100:1051
[2025-05-15 19:43:15] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.34.248.143:1051
[2025-05-15 19:43:18] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.15.73.213:1051
[2025-05-15 19:43:21] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@45.15.73.131:1051
[2025-05-15 19:43:27] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@109.248.49.75:1051
[2025-05-15 19:43:32] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@194.35.113.21:1051
[2025-05-15 19:43:34] [info] Connecting with proxy: socks5://rlF97R:IL9MJzmIaa@185.181.244.150:1051
